Fecha,Numero,Loteria
1990-06-23,323,Cash noche
1990-06-26,4,Cash noche
1990-06-29,944,Cash noche
1990-07-04,517,Cash noche
1990-07-08,170,Cash noche
1990-07-16,562,Cash noche
1990-07-23,714,Cash noche
1990-08-08,77,Cash noche
1990-08-12,501,Cash noche
1990-08-14,866,Cruz roja
1990-08-17,465,Cash noche
1990-08-31,744,Cash noche
1990-09-03,678,Cash noche
1990-09-04,287,Cruz roja
1990-09-05,572,Cash noche
1990-09-10,321,Cash noche
1990-09-14,668,Cash noche
1990-09-14,945,Medellín
1990-09-21,335,Cash noche
1990-09-23,510,Cash noche
1990-09-28,822,Cash noche
1990-10-04,889,Cash noche
1990-10-12,950,Cash noche
1990-10-14,98,Cash noche
1990-10-17,50,Cash noche
1990-10-18,105,Cash noche
1990-10-30,113,Cruz roja
1990-11-02,555,Medellín
1990-11-03,296,Cash noche
1990-11-16,471,Medellín
1990-11-19,950,Cash noche
1990-11-28,830,Cash noche
1990-11-30,830,Medellín
1990-12-03,354,Cash noche
1990-12-04,777,Cash noche
1990-12-04,582,Cruz roja
1990-12-07,510,Cash noche
1990-12-09,884,Cash noche
1990-12-15,526,Cash noche
1990-12-17,94,Cash noche
1990-12-27,533,Cash noche
1991-01-01,988,Cash noche
1991-01-05,546,Cash noche
1991-01-06,256,Cash noche
1991-01-17,888,Cash noche
1991-01-25,509,Medellín
1991-02-02,347,Cash noche
1991-02-04,62,Cash noche
1991-02-05,2,Cash noche
1991-02-14,2,Cash noche
1991-02-17,433,Cash noche
1991-02-21,999,Cash noche
1991-02-27,54,Cash noche
1991-03-08,582,Cash noche
1991-03-09,230,Cash noche
1991-03-12,474,Cruz roja
1991-03-14,785,Cash noche
1991-03-19,714,Cash noche
1991-03-22,962,Medellín
1991-03-24,269,Cash noche
1991-03-26,289,Cruz roja
1991-04-14,813,Cash noche
1991-04-23,578,Cruz roja
1991-04-26,905,Medellín
1991-04-30,807,Cash noche
1991-05-01,732,Cash noche
1991-05-02,539,Cash noche
1991-05-10,45,Cash noche
1991-05-14,450,Cash noche
1991-05-15,954,Cash noche
1991-05-18,758,Cash noche
1991-05-23,233,Cash noche
1991-06-05,94,Cash noche
1991-06-14,901,Medellín
1991-06-18,510,Cash noche
1991-06-18,302,Cruz roja
1991-06-24,994,Cash noche
1991-06-29,590,Cash noche
1991-07-01,522,Cash noche
1991-07-04,905,Cash noche
1991-07-04,230,Play noche
1991-07-07,15,Cash noche
1991-07-09,807,Cruz roja
1991-07-12,813,Cash noche
1991-07-17,372,Play noche
1991-07-18,44,Play noche
1991-07-26,582,Cash noche
1991-07-26,233,Medellín
1991-08-03,100,Play noche
1991-08-07,546,Cash noche
1991-08-09,317,Cash noche
1991-08-09,500,Play noche
1991-08-11,71,Play noche
1991-08-14,65,Cash noche
1991-08-16,54,Cash noche
1991-08-16,768,Medellín
1991-08-21,650,Cash noche
1991-08-27,23,Play noche
1991-08-29,372,Cash noche
1991-08-30,666,Cash noche
